id,name,school_id,username,password,birth_date,role,is_active
1,Leontyne Kmieciak,4,oorzaz77,$u%K-*5-##_,1975-06-12,member-teacher,1
2,Francois Coldham,3,rvmlrhcmc53,$i&+*-K$^&,1995-04-03,member-teacher,1
3,Clarette Alvarado,1,nfkrwwed58,+-$*,1998-09-14,member-teacher,1
4,Dollie Pozzo,2,hhbkznvclj17,*,2000-01-07,member-student,1
5,Foster Caso,5,umsapy04,&^+*$,1988-03-22,manager,1
6,Hale Towlson,1,ypqpaar90,33!&7,1975-01-17,member-teacher,1
7,Anna-maria Ridewood,4,vttlexndx26,!-%-^F-+@^!,1997-10-16,member-teacher,1
8,Carmen Giannazzi,2,btdrzz45,$^-7,1980-06-17,member-student,1
9,Lanny Japp,3,mejrhvt46,efu&$n!##!,1979-02-28,member-student,1
10,Augustus Trevascus,3,ydmrms07,&+=-$,1985-04-02,member-student,1
11,Wernher Perelli,2,kpxtxqso52,A-_,1995-08-05,member-student,1
12,Andra Pickover,2,bphyodtih42,!=^_-TI+_,1983-11-28,member-student,1
13,Rayshell Cassell,3,cduhdgxzsb41,+k9$+7#-@,2001-02-12,member-teacher,1
14,Raphaela Mark,4,jiszng02,J=^wx,1996-09-13,manager,1
15,Gris Randle,5,hioyui71,_&!,1994-08-12,manager,1
16,Antin Kilmurry,4,dejxtk09,#,1991-02-04,member-student,1
17,Chico Chafney,4,wxhzvn30,#!-$,1996-01-27,member-teacher,1
18,Lorrie Yansons,5,utguu25,=$$%+__,1976-01-21,member-student,1
19,Osmond Guierre,2,veecq76,N&10$3,1986-05-24,member-teacher,1
20,Maryjane de Castelain,5,ohxdyapshc14,-_-#0b-=^%,1988-09-04,member-student,1
21,Isabelita Mariel,3,ltwaskt52,-,1989-05-13,member-student,1
22,Michele Goodhew,3,oyrzham45,=%l@,1997-05-30,member-student,1
23,Alfie Crummey,1,swtjesbwda31,=&&+q!**=@_,1984-11-29,member-student,1
24,Lacee Windous,5,ovpwrcc03,_%%%,1993-10-18,member-teacher,1
25,Mignonne Isson,3,nobuwwx72,t=M$-*-*-,1986-04-15,manager,1
26,Krystal Sidnell,4,nasrv82,+%_,1994-06-06,member-teacher,1
27,Gael Hinkensen,2,juwojzbts65,-!%*&#,1978-11-14,manager,1
28,Maegan Reolfi,2,tqitisznan83,=$!kh&$i$*n_,2000-12-30,member-student,1
29,Clotilda Kelland,2,idfdylbzah03,9!@%,1988-10-24,manager,1
30,Sidonia Ivers,4,lqxswvas62,1i*@f=_-=,1977-08-27,member-teacher,1
31,Chandra O'Codihie,5,uiehgh23,%,1978-02-14,member-teacher,1
